output,id
AOZM,NaN
APIG,"52660086605751696, 52660537309934080, 52660678210309144, 52662881736271752, 52665300848148968, 52667124972950248, 52670766117848256, 52672646466465256, 52672834213733096, 55979926073638192, 55980125092062208, 55984550226929320, 55994126851657744"
ASTV,NaN
AWDS,NaN
B2W,52672136730412232
BCENG,"52659160321726216, 52660332871867704, 52664790807337752, 52669160175274056, 52669312658858264, 52669986594512096, 52669987993795608, 52670784226517208, 52674674075036736, 52675001683826248, 55983692626531568"
BCVA,NaN
CBC,NaN
CLBS,"52669769275960016, 52671733477137736, 52675137252392712, 52675519085635032"
CLT,"52660587463929032, 52660763500079848, 52666408018391456, 52671852343962680, 52672180906181304, 52672708025888040"
CNDG,NaN
CRBT_CNT,"49341356659742048, 52657691632255112, 52658360905229056, 52658885663504560, 52661104605838144, 52661277925434376, 52661924704651464, 52662442465948016, 52668154064446488, 52668203594856408, 52669060929058992, 52669082802949072, 52669148428863448, 52669554600455272, 52669576280968560, 52670467778430456, 52670729521588472, 52670884470382112, 52671586517193912, 52671598264192296, 52671639335234416, 52672390741668952, 52672611517632504, 52674545545794360, 52676697736336184, 55983589638384448, 55985370269400472, 55988449907005208, 55989031106116688, 55991463370912904, 55993655447715752, 55993939923044320, 55994190086559712, 55994238343109312, 55994246964631120, 55994248027988344, 55994623071356320, 55994717530340616, 55996697506089472, 55997370715227128, 55997748182319432"
CRBT_SRV,"52659324690622928, 52661342926958704, 52662699868985800, 52669606478073912, 52669742588774064, 52669788378351896, 52670773603612544, 55989861562772480, 55997933653775752"
DAST,NaN
DUPAK,NaN
EVVI,"52658794926235360, 52659792957682736, 52659808193517808, 52660641847653016, 52661693128436552, 52669539261766544, 52669658384020824, 52669883825213848, 52671647301129736, 52671666476606800, 52671798206585608, 52672334973962024, 52675508968871560, 52675660942886040, 52676247432791296, 55986669470430096, 55991851026394104, 55994063626061368, 55996357975506752, 55997505692758384"
FLS,NaN
FUCF,NaN
GAML,NaN
GFCS,NaN
GTNB,NaN
HOCO,"52658190273856336, 52661722636464832, 52664131359794248, 52669230479721720, 52669756374723144, 52669814388699144, 52671702443704856, 52676017772953088, 55991301877406600"
HSUB,"49341445090547968, 52658820476073360, 52659837156165288, 52661596777695896, 52661938036569240, 52661960958035232, 52663127176095056, 52666848540369888, 52667628584541464, 52668550437205112, 52668639359855888, 52669553456499744, 52669666268218832, 52669840853654808, 52671267396669168, 52671777377894968, 52671852866777392, 52672016874067592, 52672396884341184, 52675315471833104, 55979838037666704, 55980649916207144, 55983603902761888, 55990493655207544, 55996900524674576"
