output,id
AOZM,"52671852866777392, 52675651274564592, 52676227450070768, 55979561148884880, 52661801223028640, 55990013842967912, 52670956696640712"
APIG,"55993511811656080, 55993891907906976, 52672083397577400, 55994059710025768, 55994074777905712, 52672192264532952, 55994346662189136, 52672615567227064, 55996122252768256, 55996234926860760, 55996266564702680, 52674453008200560, 55996956810526760, 55997103773741368, 55997116567000672, 55997418388377800, 55997572048819168, 55997654822235808, 52675738994798600, 55997806173535592, 55997812489872680, 55997918712480656, 55997929477401392, 55997935811196680, 52676017772953088, 52676227450070768, 52676304053737880, 52676421501731480, 55998448613228648, 55998567573546496, 55998589686639568, 55998607801584856, 55998617593457656, 55960382353905048, 55960549911494176, 55961327092749016, 55962329548479136, 55962579239124704, 55962670261663792, 55962693408990976, 55963220500118272, 55963350732033808, 55963419065887304, 55964040217333656, 55964470303235120, 55964813763015696, 55965165702140192, 55965640547821688, 55965889108260688, 55966030796131368, 55966293281248072, 55966914247776336, 55969273194732240, 55969734490498944, 52656963014123744, 55978935549080600, 55978938505055712, 55978988253642456, 52657105738722912, 55979549632666544, 55979831504319944, 55979975353735336, 52658190273856336, 55980161782476072, 52658336932445544, 52658488769641528, 55980450889131096, 55980485003920240, 55980593400660528, 55980658674185408, 55980663627508160, 55980663627508160, 52658766034146512, 55981144968631248, 55981242243424784, 55981509095937696, 55981510505085792, 55981540567457536, 55981709992399088, 55981754306994112, 52659964717490632, 55981966668504248, 52660043667758496, 55981997615618392, 55982007451713368, 55982048377761784, 52660362865787608, 55982694620935856, 52660829154069376, 55982778712048200, 52661000415808504, 55983005357517928, 55983041599520200, 55983041599520200, 55983041599520200, 55983153693944112, 55983187673661072, 55983201745571648, 52661310806358136, 52661474253945584, 52661488894652472, 55983471409360496, 52661551416143528, 52661560343001144, 55983592785326264, 55983614615322792, 55983654316918448, 55983673886252008, 55983737842119144, 55983847932144120, 52661934256518800, 52661960036840592, 55984004231207688, 52662158123415696, 52662257687706936, 52662257687706936, 55984227674335896, 55984282580654384, 55984323247361192, 55984341696506952, 55984431949197912, 52662624326441880, 52662770670647128, 49340941168998376, 52662953059280248, 52663004339024328, 52663074413545904, 55985060234222536, 55985063169702160, 55985145842192360, 55985147842819440, 49341442088967000, 55985378315085016, 52663522008403776, 52663646556836336, 55985743864500064, 52663894672976040, 55985825236521752, 55985858454331928, 55985886462591560, 55986018085445424, 55986079166312248, 55986166403640848, 55986181562263760, 55986184141587688, 52664415172627040, 55986353252628592, 55986452044351504, 55986464865390008, 55986606568050352, 52664681228912496, 52664694438922296, 52664725136518312, 55986682623470304, 55986857892953336, 52664963673325072, 52665055746846048, 55987107511717592, 52665231544238888, 55987165528522800, 52665281616138008, 55987296608277656, 55987297691011552, 55987303441492904, 55987475715616096, 55987605335310936, 52666079102267616, 52666079102267616, 55988020986802760, 55988150749478872, 55988159344883008, 55988162536398440, 55988229605915168, 55988334978056848, 55988445929474584, 55988491068308680, 52666585083299440, 55988605135379480, 52667151172576832, 55989116709217656, 55989478041527048, 55989697496620152, 55989922297471680, 52668059081818544, 55989992366084800, 55990270979171672, 52668452175023648, 55990544445939696, 52668743405874376, 55990884986572304, 55990885431787696, 52668975431908312, 55990936305339912, 52669025051687152, 52669230479721720, 52669253000560488, 52669266946836272, 55991253043122280, 55991269328789520, 55991301877406600, 55991337317761480, 52669539485322720, 52669572764573320, 52669768013954472, 52669768013954472, 52669768013954472, 52669784500016160, 52669853643972608, 55991902383421832, 55991911290727432, 55991915778920576, 52670023489468056, 52670062371940208, 55992016315941000, 55992074793780640, 55992333408666864, 55992401866598000, 55992492496065784, 55992565094477328, 55992657273677672, 55992662090961960, 55992766198380360, 52670879261957160, 52670879261957160, 52670879261957160, 55992813979230912, 55992957377351200, 52671035789826456, 52671258088954248, 55993246391656952, 55993488326754704, 52671621983443336, 55993761669033264, 55993785398823768, 55993915886645728, 55994017426407904, 52672387750724776, 52672655767299304, 55994719051785112, 55994737502513736, 52672828297996368, 55994799963354448, 55996364133597384, 55996402157670784, 55996413463663320, 55996426080507336, 52674570577411008, 55996652099258584, 55996654469379592, 52674756679125360, 55996715624953160, 55996832932157584, 55996888186983480, 52675132214773808, 55997062999987048, 55997151804353384, 52675277287699952, 55997240914417280, 52675342465930000, 55997341518860216, 55997495402084848, 55997521252357400, 55997661686448912, 52676006512388096, 52676109151701944, 55998124255664424, 55998147877426000, 52676229591080352, 52676229591080352, 52676373743307472, 52676380279995920"
ASTV,"52672049699702856, 55994026725036232, 55996391033882128, 55996426636548560, 55997185476451992, 52675349111575856, 55998404435773320, 55962641155789536, 55965642245444800, 55988662998935656, 55989312753308704"
AWDS,"55962816001183992, 55967556593207296, 55968537624580696, 55969566227526520, 55969981159061032, 55982694620935856, 55983413469289176, 55983525903218776, 55984720865393992, 55985416291932344, 55986215321576176, 55988269300293528, 55988306813251864, 55989461917149480, 52671260533069616, 55996131764664280, 55996849650771712, 55997143882442608, 52676294157040136"
B2W,"55993499054455256, 55993525404741408, 52671639335234416, 55993599049056864, 55993624522740280, 55993680636988856, 55993811407760144, 55993866159416848, 55993889535684920, 55993975163980080, 55994016937884592, 52672118319095816, 52672132438215424, 52672221251341352, 55994163784783656, 55994183629791416, 52672342146047648, 55994294944343296, 55994303918856136, 52672389332598800, 55994346662189136, 55994417844855608, 55994570006880448, 52672677013359160, 52672713576364048, 52672762294068280, 52672986414730592, 55996240539480800, 52674473011507008, 55996479398260928, 52674560783172392, 55996697423937032, 55997036280769512, 55997073855367704, 55997103773741368, 55997109170514400, 55997110095098464, 55997200128659888, 55997359170092240, 55997370715227128, 55997373066356888, 55997408927109400, 52675494098490112, 55997629782353816, 55997896921615816, 52676117564062104, 55998180064948296, 55998411898166536, 55998469295631376, 55998538631619712, 55998550396005168, 55998570150904072, 52676697736336184, 55998639822549232, 55998658345697408, 55960307372955960, 55960588189416416, 55961765461294928, 55961830184059192, 55961972929011096, 55962432355699864, 55962597100975840, 55962784403896752, 55962805996107288, 55962826219659608, 55963461684771432, 55964040217333656, 55964068172461208, 55964230522450096, 55964336280784632, 55964362808064656, 55965157879490368, 55965270444547624, 55965618079293384, 55965642245444800, 55965642245444800, 55965889108260688, 55965892927489440, 55966030796131368, 55966032263918424, 55966070179239384, 55967007090885072, 55967352105896440, 55968354626069752, 55968673806553328, 55968673806553328, 55968823820088776, 55968823820088776, 55969850880156032, 55970041331979144, 55970314345615832, 52657039708981304, 55979048596715880, 55979527912125200, 55979593516246360, 52657712143442664, 55980029642497240, 55980104242650416, 52658180899602840, 55980155973267120, 55980203728961752, 55980377595802560, 55980498945959904, 55980602087798944, 52658828655047400, 52658838814413456, 55980811285670552, 55980842987691088, 52658979805155816, 52658979805155816, 52659032983430392, 55981103017106184, 52659188378477712, 55981145668528432, 52659263961165232, 55981357515589720, 52659499278889328, 55981570803456920, 55981597335854200, 55981671634550984, 55981787671203560, 55981793145379896, 52659929601972232, 52659935793884440, 55981884594048032, 52660163136700616, 55982161080043840, 52660233519369672, 55982167775452016, 55982248488017856, 55982392812348832, 55982439280186224, 55982475952168984, 55982537910721912, 52660712367355760, 55982663922488488, 52660812356606344, 52660818173969456, 52660923213949528, 55982859907257472, 55982912986966256, 55982939503094880, 55982939503094880, 52661104705351800, 52661113811159200, 52661169169558800, 55983222645384032, 52661295071174136, 52661474253945584, 52661560343001144, 55983508187073216, 52661658119795960, 55983623948330272, 55983692106625144, 52661938036569240, 52661951619880944, 55983883025569488, 55984033196942016, 55984082361376272, 55984158655316152, 55984338996350040, 52662442465948016, 55984431949197912, 55984672570684944, 52662845073084360, 55984793671538256, 55984862367122184, 52662953059280248, 49341093070528608, 55985076828651896, 55985145842192360, 49341472432436776, 55985414366392984, 52663612511589048, 55985651707684600, 52663794011827976, 52663794011827976, 55985727831859640, 55985825236521752, 52664059363461632, 55986101281611288, 55986236616339976, 52664314990739816, 55986315290829624, 52664580578898344, 55986594402624296, 52664723016702344, 55986669470430096, 55986846111582936, 55986929304762976, 55986965024296392, 55987063462771552, 52665188654081360, 55987172933959368, 52665485533912000, 52665524390128176, 52665826664477864, 52666027155653592, 55988001518753560, 55988011931976544, 55988020098217664, 55988050584486128, 55988072504626088, 52666152208637280, 52666485693961272, 55988474561813280, 55988617471785760, 55988636620301688, 55989046699104496, 52667180657934440, 55989128788408504, 55989148075601104, 52667240340971840, 55989308806205176, 55989311369586120, 55989373811281856, 55989630583576408, 55989647633961952, 52667761900336056, 55989751884323360, 55989931126279960, 55989988281290344, 55990013842967912, 55990047738498672, 55990047738498672, 52668157683076192, 52668196995529104, 55990144863955616, 55990406814063544, 55990430909034424, 52668554157596848, 55990603333945712, 55990814693426256, 52668913690906296, 52668975431908312, 52669060929058992, 52669082802949072, 55991023678889688, 52669148428863448, 55991337317761480, 52669427523761808, 55991364892103936, 52669467117829760, 55991440473403440, 55991517690152784, 55991527991701472, 52669624222640280, 55991650967112344, 52669741249636448, 55991710738248256, 52669791600219304, 52669798748730848, 52669816748685808, 52669979497270120, 55992073943946728, 55992269470341344, 55992317813340584, 52670467778430456, 55992461286884128, 52670729521588472, 55992673462978072, 55992677837595312, 55992957377351200, 55993024401356232, 55993077243762576, 52671150600027840, 55993089024726784, 55993516258425752, 52671780506634880, 55993972280960616, 55993996356611744, 55994033051808888, 55994036358924408, 52672182337529600, 55994214586917848, 55994222599658584, 55994256667722016, 52672337892651488, 55994279856478840, 52672396560740960, 55994343221060272, 52672493541804560, 55994535752840712, 55994559001426360, 52672635479485536, 55994629094401920, 55994629415709896, 55994696886994688, 55994737502513736, 52673344507083192, 55995939883254352, 55996357411549696, 55996457487500904, 55996470186087040, 55996501517578040, 55996512347620768, 52674624097392744, 52674676388978392, 55997006971083728, 55997006971083728, 55997011635544248, 52675197656369464, 52675329527617536, 52675430632028904, 52675518148909136, 52675552919113400, 55997505253822968, 55997741450857008, 52675821884627032, 55997848043625440, 55997963067021952, 55997970499662136, 55997970499662136, 55998043466135056, 52676145665865408, 52676361245213728, 52676412906692448"
BCENG,"55998464314792528, 55981890601322656, 52661104605838144, 55983768534018352, 55984455464195488, 55988005392946568, 52670879261957160, 52672405625912424, 55996829540902768, 52676084507647648"
BCVA,"52657570638428960, 55983205679473112, 55989692033633512, 52671772463063824, 55994639461785024, 55996228778322336, 55996358603991512"
CBC,"55993675979965280, 55994376309692360, 55996897439126328, 55997364862614992, 55998371564390736, 55960967020270080, 55961122010673200, 55963306126103744, 55964643119492272, 55964763295498880, 55965624956516872, 55966444969079728, 55966444969079728, 55968220012533840, 55968354626069752, 52658814366567680, 55981943327946504, 55982547319450080, 55982558899261600, 55982971646875352, 55985738759018128, 55985738759018128, 55986839436333584, 55988045281237944, 55988250051617936, 55989307146269464, 55990096688527272, 55993471159518584, 55993471159518584, 52675207935763712, 55998287003993456"
CEYH,55979336598104792
CLBS,"52672005554134840, 55994554769114424, 55994602509021048, 55996422788667608, 55996494001617392, 52674673884348024, 52674675849104640, 55996655865946736, 55996706257632936, 52675040533371024, 52675950913764152, 55998450316875304, 52676668042018752, 55998616443134680, 55998729574177736, 55960511854847280, 55960516552648384, 55960648897362832, 55964176824318768, 55966071288142872, 55966343660454136, 55966811722554488, 55967260685895296, 55967510026169760, 55968872996022280, 55969765238736968, 55980220895177192, 55980991676427344, 55981103017106184, 55981432314992272, 55981509095937696, 55981628639562880, 52659808193517808, 52659825637259072, 55981801825441040, 55981842587058576, 55981889380891648, 55982318682923168, 55982463689120944, 55982465073539944, 55983049719395480, 55983251612945832, 55983588141901288, 52661858806758376, 52661976096718984, 55984057583298344, 52662257687706936, 55984383620505440, 52662953059280248, 55985117625032336, 55985117625032336, 49341314188955320, 55985207061014472, 52663612511589048, 55985870928889000, 55985943497288976, 55985973283475816, 52664131359794248, 52664314372199488, 55986337711861488, 55986669470430096, 52664980401001520, 55987063923368144, 55987107511717592, 55987235516628304, 55987841444651968, 55988391562984408, 55988453415013128, 55988497104920952, 55989332019706592, 52667492203578432, 55989751884323360, 55989853770049728, 55990139116865344, 55990417397591816, 52668539776920936, 55990740828279680, 55991200476535080, 52669448295765000, 52669768013954472, 55992018584768576, 52670506197466072, 55993144761163888, 52671755376322576, 55993889296026264, 55993949355081080, 55993996356611744, 55994014798877240, 55994317862895200, 55994565454731864, 55996625509058104, 55996696603131888, 55996709128991144, 55996991412257416, 52675163612191256, 55997309288763680, 52675508968871560, 55997659245892760, 55998011047319752, 52676136596044448, 52676256932928384"
